subjectID,run1
CHIVES1001,0
CHIVES1002,0
CHIVES1003,0
CHIVES1004,2
CHIVES1005,1
CHIVES1006,0
CHIVES1007,0
CHIVES1008,0
CHIVES1009,0
CHIVES1010,1
CHIVES1011,0
CHIVES1012,1
CHIVES1013,1
CHIVES1014,0
CHIVES1016,0
CHIVES1017,1
CHIVES1018,0
CHIVES1019,0
CHIVES1020,0
CHIVES1021,2
CHIVES1022,0
CHIVES1023,0
CHIVES1024,0
CHIVES1025,1
CHIVES1026,0
CHIVES1027,0
CHIVES1029,0
CHIVES1030,0
CHIVES1031,0
CHIVES1032,2
CHIVES1033,0
CHIVES1034,0
CHIVES1035,1
CHIVES1036,0
CHIVES1037,1
CHIVES1038,2
CHIVES1041,0
CHIVES1042,0
CHIVES1043,0
CHIVES1044,2
CHIVES1045,1
CHIVES1046,1
CHIVES1047,1
CHIVES1048,0
CHIVES1049,3
CHIVES1050,2
CHIVES1051,0
CHIVES1052,1
CHIVES1053,1
CHIVES1054,0
CHIVES1055,1
CHIVES1056,0
CHIVES1057,0
CHIVES1058,6
CHIVES1059,0
CHIVES1060,0
CHIVES1061,0
CHIVES1062,0
CHIVES1063,0
CHIVES1064,1
CHIVES1065,2
CHIVES1066,1
CHIVES1068,1
CHIVES1069,1
CHIVES1070,0
CHIVES1071,0
CHIVES1072,1
CHIVES1073,0
CHIVES1074,2
CHIVES1075,16
CHIVES1076,0
CHIVES1077,0
CHIVES1078,0
CHIVES1079,0
CHIVES1080,0
CHIVES1081,0
CHIVES1082,41
CHIVES1083,0
CHIVES1084,0
CHIVES1085,0
CHIVES1087,0
CHIVES1088,1
CHIVES1089,0
CHIVES1090,0
CHIVES1091,5
CHIVES1092,0
CHIVES1094,0
CHIVES1095,2
CHIVES1096,3
CHIVES1097,0
CHIVES1098,2
CHIVES1100,1
CHIVES1102,0
CHIVES1103,3
CHIVES1105,0
